league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,passing_nation,passing_pos,passing_age,passing_born,passing_90s,passing_total_cmp,passing_total_att,passing_total_cmp%,passing_total_totdist,passing_total_prgdist,passing_short_cmp,passing_short_att,passing_short_cmp%,passing_medium_cmp,passing_medium_att,passing_medium_cmp%,passing_long_cmp,passing_long_att,passing_long_cmp%,passing_ast,passing_a-xag,passing_kp,passing_1/3,passing_ppa,passing_crspa,defense_nation,defense_pos,defense_age,defense_born,defense_90s,defense_tackles_tkl,defense_tackles_tklw,defense_tackles_def 3rd,defense_tackles_mid 3rd,defense_tackles_att 3rd,defense_challenges_tkl,defense_challenges_att,defense_challenges_tkl%,defense_challenges_lost,defense_blocks_blocks,defense_blocks_sh,defense_blocks_pass,defense_int,defense_tkl+int,defense_clr,defense_err,possession_nation,possession_pos,possession_age,possession_born,possession_90s,possession_touches_touches,possession_touches_def pen,possession_touches_def 3rd,possession_touches_mid 3rd,possession_touches_att 3rd,possession_touches_att pen,possession_touches_live,possession_take-ons_att,possession_take-ons_succ,possession_take-ons_succ%,possession_take-ons_tkld,possession_take-ons_tkld%,possession_carries_carries,possession_carries_totdist,possession_carries_prgdist,possession_carries_1/3,possession_carries_cpa,possession_carries_mis,possession_carries_dis,possession_rec,gca_nation,gca_pos,gca_age,gca_born,gca_90s,gca_sca_sca,gca_sca_sca90,gca_sca types_passlive,gca_sca types_passdead,gca_sca types_to,gca_sca types_sh,gca_sca types_fld,gca_sca types_def,gca_gca_gca,gca_gca_gca90,gca_gca types_passlive,gca_gca types_passdead,gca_gca types_to,gca_gca types_sh,gca_gca types_fld,gca_gca types_def,misc_nation,misc_pos,misc_age,misc_born,misc_90s,misc_performance_crdy,misc_performance_crdr,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,shooting_nation,shooting_pos,shooting_age,shooting_born,shooting_90s,shooting_standard_gls,shooting_standard_sh,shooting_standard_sot,shooting_standard_sot%,shooting_standard_sh/90,shooting_standard_sot/90,shooting_standard_g/sh,shooting_standard_g/sot,shooting_standard_pk,shooting_standard_pkatt,player_name,club,minutes_played,goals,assists,pass_cmp_pct,prg_pass_dist,long_pass_cmp_pct,final_third_passes,key_passes,tackles_won,def_duels_won_pct,blocks,interceptions,clearances,errors_to_shot,touches_in_box,successful_dribbles,dribble_success_pct,carries_final_third,carries_into_box,sca,gca,shots_on_target_pct,shot_conversion_pct,xg,xag,npxg,prg_carries,prg_passes,through_balls,aerial_won_pct,recoveries
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26.0,1997.0,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15,ENG,DF,26.0,1997.0,13.3,,,,,,,,,,,,,,,2,,,,,,ENG,DF,26.0,1997.0,13.3,,15,,,,,,,,,,,16,,,,ENG,DF,26.0,1997.0,13.3,,,,,,,,,,,,,,,,,,,,,ENG,DF,26.0,1997.0,13.3,,,,,,,,,,,,,,,,,ENG,DF,26.0,1997.0,13.3,2,0,0,10,5,1,17,16,15,,,0,ENG,DF,26.0,1997.0,13.3,0,9,2,22.2,0.68,0.15,0.0,0.0,0,0,Ben White,Arsenal,1198,0,2,0,0,0,0,0,15,0,0,16,0,0,0,0,0,,,0,0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22.0,2001.0,25,20,1729,19.2,6,10,16,5,1,1,3,0,0.31,0.52,0.83,0.26,0.78,ENG,"FW,MF",22.0,2001.0,19.2,,,,,,,,,,,,,,,10,,,,,,ENG,"FW,MF",22.0,2001.0,19.2,,15,,,,,,,,,,,3,,,,ENG,"FW,MF",22.0,2001.0,19.2,,,,,,,,,,,,,,,,,,,,,ENG,"FW,MF",22.0,2001.0,19.2,,,,,,,,,,,,,,,,,ENG,"FW,MF",22.0,2001.0,19.2,3,0,0,15,39,7,115,3,15,,,0,ENG,"FW,MF",22.0,2001.0,19.2,6,67,23,34.3,3.49,1.2,0.07,0.22,1,1,Bukayo Saka,Arsenal,1729,6,10,0,0,0,0,0,15,0,0,3,0,0,0,0,0,,,0,0,34.3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28.0,1995.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,GK,28.0,1995.0,38.0,,,,,,,,,,,,,,,0,,,,,,ESP,GK,28.0,1995.0,38.0,,0,,,,,,,,,,,0,,,,ESP,GK,28.0,1995.0,38.0,,,,,,,,,,,,,,,,,,,,,ESP,GK,28.0,1995.0,38.0,,,,,,,,,,,,,,,,,ESP,GK,28.0,1995.0,38.0,3,0,0,1,10,0,0,0,0,,,0,ESP,GK,28.0,1995.0,38.0,0,0,0,,0.0,0.0,,,0,0,David Raya,Arsenal,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25.0,1999.0,35,33,2825,31.4,4,7,11,4,0,0,7,1,0.13,0.22,0.35,0.13,0.35,ENG,MF,25.0,1999.0,31.4,,,,,,,,,,,,,,,7,,,,,,ENG,MF,25.0,1999.0,31.4,,23,,,,,,,,,,,27,,,,ENG,MF,25.0,1999.0,31.4,,,,,,,,,,,,,,,,,,,,,ENG,MF,25.0,1999.0,31.4,,,,,,,,,,,,,,,,,ENG,MF,25.0,1999.0,31.4,7,1,1,21,16,2,161,27,23,,,0,ENG,MF,25.0,1999.0,31.4,4,48,15,31.3,1.53,0.48,0.08,0.27,0,0,Declan Rice,Arsenal,2825,4,7,0,0,0,0,0,23,0,0,27,0,0,0,0,0,,,0,0,31.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17.0,2007.0,26,11,895,9.9,4,2,6,4,0,0,1,0,0.4,0.2,0.6,0.4,0.6,ENG,"FW,MF",17.0,2007.0,9.9,,,,,,,,,,,,,,,2,,,,,,ENG,"FW,MF",17.0,2007.0,9.9,,6,,,,,,,,,,,3,,,,ENG,"FW,MF",17.0,2007.0,9.9,,,,,,,,,,,,,,,,,,,,,ENG,"FW,MF",17.0,2007.0,9.9,,,,,,,,,,,,,,,,,ENG,"FW,MF",17.0,2007.0,9.9,1,0,0,10,5,6,54,3,6,,,0,ENG,"FW,MF",17.0,2007.0,9.9,4,24,9,37.5,2.41,0.91,0.17,0.44,0,0,Ethan Nwaneri,Arsenal,895,4,2,0,0,0,0,0,6,0,0,3,0,0,0,0,0,,,0,0,37.5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27.0,1997.0,17,6,608,6.8,3,0,3,3,0,0,4,0,0.44,0.0,0.44,0.44,0.44,BRA,FW,27.0,1997.0,6.8,,,,,,,,,,,,,,,0,,,,,,BRA,FW,27.0,1997.0,6.8,,6,,,,,,,,,,,5,,,,BRA,FW,27.0,1997.0,6.8,,,,,,,,,,,,,,,,,,,,,BRA,FW,27.0,1997.0,6.8,,,,,,,,,,,,,,,,,BRA,FW,27.0,1997.0,6.8,4,0,0,14,10,9,6,5,6,,,0,BRA,FW,27.0,1997.0,6.8,3,20,8,40.0,2.96,1.18,0.15,0.38,0,0,Gabriel Jesus,Arsenal,608,3,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,,,0,0,40.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26.0,1997.0,28,28,2363,26.3,3,1,4,3,0,0,4,0,0.11,0.04,0.15,0.11,0.15,BRA,DF,26.0,1997.0,26.3,,,,,,,,,,,,,,,1,,,,,,BRA,DF,26.0,1997.0,26.3,,15,,,,,,,,,,,16,,,,BRA,DF,26.0,1997.0,26.3,,,,,,,,,,,,,,,,,,,,,BRA,DF,26.0,1997.0,26.3,,,,,,,,,,,,,,,,,BRA,DF,26.0,1997.0,26.3,4,0,0,19,19,0,9,16,15,,,0,BRA,DF,26.0,1997.0,26.3,3,22,5,22.7,0.84,0.19,0.14,0.6,0,0,Gabriel Magalhães,Arsenal,2363,3,1,0,0,0,0,0,15,0,0,16,0,0,0,0,0,,,0,0,22.7,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23.0,2001.0,33,25,2290,25.4,8,4,12,8,0,0,1,0,0.31,0.16,0.47,0.31,0.47,BRA,"FW,MF",23.0,2001.0,25.4,,,,,,,,,,,,,,,4,,,,,,BRA,"FW,MF",23.0,2001.0,25.4,,15,,,,,,,,,,,4,,,,BRA,"FW,MF",23.0,2001.0,25.4,,,,,,,,,,,,,,,,,,,,,BRA,"FW,MF",23.0,2001.0,25.4,,,,,,,,,,,,,,,,,BRA,"FW,MF",23.0,2001.0,25.4,1,0,0,16,21,8,90,4,15,,,0,BRA,"FW,MF",23.0,2001.0,25.4,8,56,25,44.6,2.2,0.98,0.14,0.32,0,0,Gabriel Martinelli,Arsenal,2290,8,4,0,0,0,0,0,15,0,0,4,0,0,0,0,0,,,0,0,44.6,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24.0,2000.0,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,POL,DF,24.0,2000.0,12.5,,,,,,,,,,,,,,,0,,,,,,POL,DF,24.0,2000.0,12.5,,8,,,,,,,,,,,6,,,,POL,DF,24.0,2000.0,12.5,,,,,,,,,,,,,,,,,,,,,POL,DF,24.0,2000.0,12.5,,,,,,,,,,,,,,,,,POL,DF,24.0,2000.0,12.5,1,0,0,10,4,1,2,6,8,,,0,POL,DF,24.0,2000.0,12.5,1,3,1,33.3,0.24,0.08,0.33,1.0,0,0,Jakub Kiwior,Arsenal,1122,1,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,,,0,0,33.3,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32.0,1991.0,15,9,704,7.8,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ITA,MF,32.0,1991.0,7.8,,,,,,,,,,,,,,,0,,,,,,ITA,MF,32.0,1991.0,7.8,,4,,,,,,,,,,,7,,,,ITA,MF,32.0,1991.0,7.8,,,,,,,,,,,,,,,,,,,,,ITA,MF,32.0,1991.0,7.8,,,,,,,,,,,,,,,,,ITA,MF,32.0,1991.0,7.8,5,0,0,15,17,0,1,7,4,,,0,ITA,MF,32.0,1991.0,7.8,0,2,0,0.0,0.26,0.0,0.0,,0,0,Jorginho,Arsenal,704,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
